"CID","Result","query"
"1480","Based on an estimated vapor pressure of less than 7.5X10-8 mm Hg (at 25 °C) and a water solubility of 268 mg/l (at 25 °C)(1,2), the calculated Henry's Law Constant for 2,4,5-T is less than 9.4X10-11 atm cu cm/mol at 25 °C(SRC). This value for Henry's Law Constant indicates volatilization from water and wet soil surfaces should be insignificant(3). Considering the relatively low vapor pressure of 2,4,5-T, volatilization from dry soil surfaces should also be insignificant(SRC).","2,4,5-T"
"1486","The Henry's Law constant for 2,4-D is 0.75X10-8 atm-cu m/mole(1). This Henry's Law constant indicates that 2,4-D is expected to be essentially nonvolatile from water and moist soil surfaces(2). 2,4-D is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 1.4X10-7 mm Hg(1).","2,4-D"
"15530","The Henry's Law constant for Bantrol is estimated as 5.5X10-10 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This value indicates that Bantrol will be essentially nonvolatile from water surfaces(2,SRC). Bantrol's estimated values for vapor pressure, 1.4X10-7 mm Hg(3,SRC) and Henry's Law constant(1,SRC) indicate that volatilization from dry and moist soil surfaces should not occur(SRC).","IOXYNIL"
"15559699","The Henry's Law constant for heptachlor epoxide is 3.2x10-5 atm-cu m/mole(5) from which one estimates that the half-life for volatilization from a river 1 m deep with a 1 m/sec current and a wind of 3 m/sec is 60 hr(6,SRC). 11% of the heptachlor epoxide added to a seawater aquarium aerated at 2.5 l/hr was lost over the course of 17 hr(1). However the loss rate leveled off after that time(1). Heptachlor epoxide is lost by codistillation with water as illustrated by a 42% loss in 20 hr from a jar containing mosquito larvae held at 26.5 degC(4). When heptachlor epoxide in conjunction with several other chlorinated pesticides was applied to the surface of warm, moist, fallow, sandy loam soil in a microagroecosystem chamber, 42.5% volatilized after 11 days(2). The dissipation rate was initially 0.14 kg/ha/day and decreased to 0.063 kg/ha/day by the 9th day(3).","HEPTACHLOR EPOXIDE"
"156614068","The Henry's Law constant for dinocap calculated from its water solubility, 4 mg/L(1) and vapor pressure, 4X10-8 mm Hg at 20 °C(1), is 4.79X10-9 atm-cu-m/mol(SRC). Chemicals with such low values of the Henry's Law constant are nonvolatile from water(2).","DINOCAP"
"15767","The Henry's Law constant for pentachloroanisole is estimated as 1.94X10-3 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This value indicates that pentachloroanisole will volatilize rapidly from water(2,SRC). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec) is estimated as 5.6 hours(2,SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec) is estimated as 6.9 days(1,SRC). For comparison, the Henry's Law constant derived from corresponding air and seawater concn measurements during an ocean cruise, 3.3 pg/cu m and 2.9 ng/cu m, respectively(3) is 2.8 X10-5 atm-cu m/mol(SRC).","PENTACHLOROANISOLE"
"15787","The Henry's Law constant for nitrofen is estimated as 3.0X10-6 atm-cu m/mole(SRC) derived from its vapor pressure, 7.95X10-6 mm Hg(1), and water solubility, 1 mg/L(2). This Henry's Law constant indicates that nitrofen is expected to volatilize from water surfaces(3). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 21 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(3) is estimated as 160 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column(SRC). The estimated volatilization half-life from a model pond is 450 months if adsorption is considered(4). Nitrofen's estimated Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Nitrofen is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","NITROFEN"
"15965","A pKa of 2.3(1) indicates picloram will exist almost entirely in the anion form at pH values of 5 to 9 and therefore volatilization from water and moist soil surfaces is not expected to be an important fate process(SRC).  Picloram is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 6.0X10-16 mm Hg (1).","PICLORAM"
"1639","The Henry's Law constant for 2-amino-1,3,4-triazole is estimated as 2.2X10-13 atm-cu m/mole(SRC) derived from its vapor pressure, 4.4X10-7 mm Hg(1), and water solubility, 2.8X10+5 mg/L(1). This Henry's Law constant indicates that 2-amino-1,3,4-triazole is expected to essentially be non-volatile from water and moist soil surfaces(2). 2-Amino-1,3,4-triazole is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","AMITROLE"
"16653","UNDER MOIST CONDITIONS 50% OF MOLINATE WAS LOST IN 3 WK; UNDER FLOODED CONDITIONS 10 WK. IN FLOODED CONDITIONS VOLATILIZATION WAS MECHANISM OF LOSS; NON-FLOODED CONDITIONS SHOWED A VARIETY OF DEGRADATION PATHWAYS..
ALL /OF THE THIOCARBAMATES/...ARE INCORPORATED INTO THE SOIL TO PRECLUDE RAPID GASEOUS LOSS BEFORE WEED CONTROL CAN BE ACHIEVED. /THIOCARBAMATE HERBICIDES/.
The Henry's Law constant for molinate is 4.1X10-6 atm-cu m/mole at 20 °C(1). This Henry's Law constant indicates that molinate is expected to volatilize from water surfaces(2) and moist soil surfaces(SRC). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep flowing 1 m/sec with a wind velocity of 3 m/sec)(2) is estimated as 12 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 94 days(SRC). Molinate is readily lost from wet soil surfaces when not incorporated immediately after application(3). Feild applications of molinate show that the compound dissipates readily under ricefield conditions, exhibiting a half-life of 96 hrs under intermittent irrigation and 54 hrs under continuous-flow operations(4). Using flooded rice paddy plots on silt loam and silty clay soils in Arkansas, >90% molinate applied at an initial rate of 5.6 kg active ingredient/ha had dissipated after 21 days; the initial distribution of molinate between paddy water and soil was 65 and 35%, respectively(5). In a laboratory test (27.5 °C, water depth of 0.042 meters), about 40-50% molinate volatilized after 110 hr(6). In another laboratory, molinate volatilized from distilled water with a half-life of 17.33 days(7). The volatilization half-life of molinate from a glass surface under winter temperatures was a relatively fast (compared to other pesticides) 0.44 hr(7). Another study reported that 50% of an initial barley field application of molinate volatilized within 1 day(8). Molinate solutions of 1 mg/l redistilled water solutions showed 78% residual in darkness, 65% in solutions exposed to daylight lamps, 16% residual in aerated solutions, and 5% in solutions aerated and exposed to daylight lamps after 10 days(9). Molinate is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 5.6X10-3 mm Hg(10).","MOLINATE"
"16682746","The Henry's Law constant for bis(tributyltin) oxide is estimated as 1.3X10-7 atm-cu m/mole(SRC) derived from its estimated vapor pressure, 6.4X10-7 mm Hg(1), and water solubility, 4 mg/l(1). This Henry's Law constant indicates that bis(tributyltin) oxide is expected to be essentially nonvolatile from water surfaces(2). No volatilization of bis(tributyltin) oxide was observed after 62 days from a 2 mg/l aqueous solution of the compound(1). In a 278-day marine mesocosm experiment, loss of tributyltin from the water interface to the atmosphere occurred at a rate of 0.075/day(3). Volatilization loss of tributyltin from the water column will not be rapid; it was found that loss was preceded by rapid transport to the surface microlayer followed by volatilization, or photodegradation and volatilization(3). Volatilization from dry near-surface soil and other surfaces is not likely to be an important(SRC) based upon its low estimated vapor pressure(1).","BIS(TRIBUTYLTIN) OXIDE"
"16682828","The Henry's Law constant for tributyltin methacrylate is estimated as 8.5X10-6 atm-cu m/mole(SRC) derived from its vapor pressure, 2.25X10-4 mm Hg(1), and estimated water solubility, 13 mg/L(2). This Henry's Law constant indicates that tributyltin methacrylate is expected to volatilize from water surfaces(3). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 9 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(3) is estimated as 68 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 4.4 years if adsorption is considered(4). Tributyltin methacrylate's estimated Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Tributyltin methacrylate is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","TRIBUTYLTIN METHACRYLATE"
"16720","1,5-Naphthalenediamine is a weak base with a pKa of 4.44(1) indicating it will partially exist in the protonated form under acidic conditions. Volatilization from water and moist soil surfaces is not expected to be an important fate process because cations do not volatilize and the estimated Henry's Law constant of the free base is 6.6X10-11 atm-cu m/mole(SRC), calculated using a fragment constant estimation method(2). 1,5-Naphthalenediamine is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 2.9X10-5 mm Hg at 25 °C(SRC), determined from a fragment constant method(3).","1,5-NAPHTHALENEDIAMINE"
"16945","The Henry's Law Constant for mirex is 8.1X10-4 atm-cu m/mole at 25 °C(1). This Henry's Law constant indicates that mirex is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 4 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 10 days(SRC). This estimation neglects the potentially important effect of adsorption on volatilization.  The volatilization half-life from an environmental pond, which considers the effect of adsorption, can be estimated to be about 3.6 years if parameters are introduced into the pond model to include adsorption effects(3,SRC). Volatilization from dry soil surfaces is not expected(SRC) given a vapor pressure of 8X10-7 mm Hg at 25 °C(4).","MIREX"
"1752","The Henry's Law constant for 4-nonylphenol is estimated as 3.4X10-5 atm-cu m/mole(SRC) derived from its vapor pressure, 8.18X10-4 mm Hg(1), and water solubility, 7 mg/L(2). This Henry's Law constant indicates that 4-nonylphenol is expected to volatilize from water surfaces(3). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 1.8 days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(3) is estimated as 17 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 1.3-9.6 years if adsorption is considered(4). 4-Nonylphenol's estimated Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). 4-Nonylphenol is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","4-NONYLPHENOL"
"18752","A pKa of 4.82(1) indicates asulam will exist almost entirely in the anion form at pH values of 5 to 9 and, therefore, volatilization from water and moist soil surfaces is not expected to be an important fate process(SRC). Asulam is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 1.4X10-6 mm Hg(SRC), determined from a fragment constant method(2).","4-AMINO-BENZOLSULFONYL-METHYLCARBAMAT"
"1988","The Henry's Law constant for acetochlor is estimated as 2.7X10-10 atm-cu m/mole(SRC) derived from its vapor pressure, 1.67X10-7 mm Hg(1), and water solubility, 223 mg/L(2). This Henry's Law constant indicates that acetochlor is expected to be essentially nonvolatile from water and moist soil surfaces(3). Acetochlor is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","ACETOCHLOR"
"2078","SOME LOSS OF ... ALACHLOR ... BY VOLATILIZATION FROM MOIST SOILS WAS ... REPORTED..
The Henry's Law constant for alachlor is 8.32X10-9 atm-cu m/mole(1). This Henry's Law constant indicates that alachlor is expected to be essentially nonvolatile from water surfaces(2). Alachlor is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 2.20X10-5 mm Hg(3)..
The evaporation of alachlor from soil will depend on the nature of soil, its moisture content, the temperature of the soil and the air flux over the soil. Evaporation of alachlor from soil will increase as the moisture content of the soil is increased(2-3). This increase in volatility is attributed to wick effect which continuously feeds herbicide to the soil surface resulting in enhanced volatilization(1). Increase in temperature as occurs at around noon and early afternoon will also increase evaporation rate(2). Increase in alachlor sorption in soil will decrease evaporation as evidenced by slower evaporation with the increase in clay and organic matter content of soil(1-2). It has been concluded that the loss of alachlor from soil will be moderate and an estimated 3.5-6.5 kg/ha/yr or more alachlor will be lost from treated field(5). The estimated half-life of alachlor evaporation from soil is in the range 12 to >200 days(1-4). A very slow evaporation (<0.01% in 11 weeks) of alachlor observed in a soil column experiment(6) may be due to the presence of grass cover over the soil surface(SRC).","ALACHLOR"
"2153","The Henry's Law constant for theophylline is estimated as 1.8X10-14 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that theophylline is expected to be essentially nonvolatile from water and moist soil surfaces(2). Theophylline is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 5.1X10-9 mm Hg(SRC), determined from a fragment constant method(3).","THEOPHYLLINE"
"2256","The Henry's Law constant for atrazine is 2.6X10-9 atm-cu m/mole(1). This Henry's Law constant indicates that atrazine is expected to be essentially nonvolatile from moist soil and water surfaces(2). Atrazine is not expected to volatilize from dry soil surfaces(SRC) based on a vapor pressure of 2.89X10-7 mm Hg(3). The volatilization half-life of atrazine from soil surfaces was determined to range from 111 to >1000 days depending upon soil type, soil moisture, and temperature; the volatilization half-life from oat leaves was 14.5-62.2 days(4). The time required for 50% of the initial application of atrazine to volatilize following application to soil was determined to be 500 days(5). The avg daily percent disappearance of atrazine from conventional-till and no-till surface soils (at least 30% of the soil surface is covered by plant residue) in the field due to volatilization was determined to be 2.7% and 0.9-3.2%, respectively(6).","ATRAZINE"
"2336","The Henry's Law constant for benzo(a)pyrene is 4.57X10-7 atm-cu m/mole at 25 °C(1). This Henry's Law constant indicates that benzo(a)pyrene is expected to be essentially nonvolatile from water surfaces(2). Benzo(a)pyrene's Henry's Law constant indicates that volatilization from moist soil surfaces may not occur(SRC). Benzo(a)pyrene is not expected to volatilize from dry soil surfaces(SRC) based upon an extrapolated vapor pressure of 5.49X10-9 mm Hg(3).","BENZO(A)PYRENE"
"2347","The Henry's Law constant for butyl benzyl phthalate is estimated as 1.3X10-6 atm-cu m/mole(SRC) derived from its vapor pressure, 8.25X10-6 mm Hg(1), and water solubility, 2.69 mg/L(1). This Henry's Law constant indicates that butyl benzyl phthalate is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 52  days(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 380 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The volatilization half-life from a model pond is about 380 years when adsorption is considered(3). Butyl benzyl phthalate's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Butyl benzyl phthalate is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","BENZYL BUTYL PHTHALATE"
"23931","Much of the mercury deposited on land, appears to revaporize within a day or two, at least in areas substantially heated by sunlight..
Volatilization of mercury from land and lakes was estimated to enhance the atmosphere concn over continental land masses by a factor of 45.","MERCURY"
"241","The Henry's Law constant for benzene is 5.56X10-3 atm-cu m/mole(1). This Henry's Law constant indicates that benzene is expected to volatilize rapidly from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 1 hr(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 3.5 days(SRC). Benzene's Henry's Law constant(1) indicates that volatilization from moist soil surfaces may occur(SRC). The potential for volatilization of benzene from dry soil surfaces may exist(SRC) based upon a vapor pressure of 94.8 mm Hg(3).","BENZENE"
"24408","The Henry's Law constant for bromine is 1.32X10-3 atm-cu m/mole(1). This Henry's Law constant indicates that bromine is expected to volatilize rapidly from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 4.5 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 5 days(SRC). Bromine's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Bromine is expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 212 mm Hg at 25 °C(3). Bromine is reported to vaporize rapidly at room temperature(4).","BROMINE"
"249266","The Henry's Law constant for a representative component of Aroclor 1232 is estimated as 6.9X10-4 atm-cu m/mole(SRC) derived from its vapor pressure, 4.1X10-3 mm Hg(1), and water solubility, 1.45 mg/L(1). This Henry's Law constant indicates that Aroclor 1232 is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 5.7 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 6 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The volatilization half-life from a model pond is about 80 days when adsorption is considered(3). Aroclor 1232's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Aroclor 1232 is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","MONOCHLOROBIPHENYL"
"25429","The Henry's Law constant for carbendazim is estimated as 1.5X10-12 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that carbendazim is expected to be essentially nonvolatile from moist soil and water surfaces(2). Carbendazim is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 7.5X10-10 mm Hg(3).","CARBENDAZIM"
"26710","Ferbam has a negligible vapor pressure and is not expected to volatilize from water surfaces or from moist soil surfaces(1).","FERBAM"
"2723650","The Henry's Law constant for ethylene thiourea is estimated as 3.4X10-7 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that ethylene thiourea is expected to be essentially nonvolatile from water surfaces(2). Ethylene thiourea is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 2.0X10-6 mm Hg(SRC), determined from a fragment constant method(3). However, data collected from a microagroecosystem chamber indicate that small amounts of ethylene thiourea may volatilize from soil and plant surfaces(4).","ETHYLENE THIOUREA"
